,session_id,label,source,evidence,proba
0,27a3b1,high_completed,rules,"[{'kind': 'date', 'message_idx': 0, 'text_snippet': '12–14 Oct'}, {'kind': 'occupancy', 'message_idx': 0, 'text_snippet': 'Hi, availability for 12–14 Oct for 2 adults?'}, {'kind': 'money', 'message_idx': 1, 'text_snippet': '€180'}, {'kind': 'booking_verb', 'message_idx': 1, 'text_snippet': 'Available: Deluxe €180/night. Proceed to book?'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'Available: Deluxe €180/night. Proceed to book?'}]",1.0
1,34fd5e,high_abandoned,rules,"[{'kind': 'date', 'message_idx': 0, 'text_snippet': 'tonight'}, {'kind': 'money', 'message_idx': 1, 'text_snippet': '€120'}, {'kind': 'booking_verb', 'message_idx': 1, 'text_snippet': 'Single Room €120. Proceed?'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'Single Room €120. Proceed?'}, {'kind': 'payment', 'message_idx': 3, 'text_snippet': 'Enter card details to guarantee.'}]",1.0
2,63c2db,medium_evaluating,model,"[{'kind': 'policy_info', 'message_idx': 0, 'text_snippet': 'Do you have an airport shuttle?'}, {'kind': 'date', 'message_idx': 1, 'text_snippet': 'hour, 6:00, €12, 22:00'}, {'kind': 'money', 'message_idx': 1, 'text_snippet': '€12'}, {'kind': 'policy_info', 'message_idx': 1, 'text_snippet': 'Yes, the shuttle runs every hour from 6:00 to 22:00. It costs €12 per person.'}, {'kind': 'policy_info', 'message_idx': 2, 'text_snippet': 'Where do I catch it at the airport?'}]",0.7008286529019464
3,53b0dd,low_exploring,model,"[{'kind': 'policy_info', 'message_idx': 0, 'text_snippet': ""What's your early check-in policy?""}, {'kind': 'date', 'message_idx': 1, 'text_snippet': '12:00, 15:00'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'Standard check-in is 15:00. Early check-in from 12:00 is subject to room readiness.'}, {'kind': 'policy_info', 'message_idx': 1, 'text_snippet': 'Standard check-in is 15:00. Early check-in from 12:00 is subject to room readiness.'}, {'kind': 'room', 'message_idx': 3, 'text_snippet': ""There's no fee if the room is ready. Otherwise, we can store luggage for free.""}]",0.7100085201332788
4,95a158,low_exploring,model,"[{'kind': 'policy_info', 'message_idx': 0, 'text_snippet': 'Are pets allowed at the hotel?'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'Yes, small pets up to 10 kg are allowed in designated rooms.'}, {'kind': 'policy_info', 'message_idx': 1, 'text_snippet': 'Yes, small pets up to 10 kg are allowed in designated rooms.'}, {'kind': 'policy_info', 'message_idx': 3, 'text_snippet': 'Pets are not allowed in the restaurant or spa. Leashes required in public areas.'}]",0.7074357210802558
5,8f5a03,none,model,"[{'kind': 'room', 'message_idx': 0, 'text_snippet': 'Do you have accessible rooms?'}, {'kind': 'service', 'message_idx': 0, 'text_snippet': 'Do you have accessible rooms?'}, {'kind': 'policy_info', 'message_idx': 0, 'text_snippet': 'Do you have accessible rooms?'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'We offer accessible rooms with roll-in showers and lowered switches.'}, {'kind': 'service', 'message_idx': 1, 'text_snippet': 'We offer accessible rooms with roll-in showers and lowered switches.'}]",0.7387165551941854
6,185205,none,model,"[{'kind': 'room', 'message_idx': 0, 'text_snippet': 'The Wi‑Fi keeps disconnecting in my room.'}, {'kind': 'service', 'message_idx': 3, 'text_snippet': 'I’ve opened a ticket for IT and can provide a travel router at the front desk.'}]",0.7585630719636983
7,50b0d4,medium_evaluating,model,"[{'kind': 'room', 'message_idx': 0, 'text_snippet': 'Can I get extra towels and pillows to room 412?'}, {'kind': 'service', 'message_idx': 0, 'text_snippet': 'Can I get extra towels and pillows to room 412?'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'Absolutely—two towels and two pillows for room 412. Anything else?'}, {'kind': 'service', 'message_idx': 1, 'text_snippet': 'Absolutely—two towels and two pillows for room 412. Anything else?'}, {'kind': 'date', 'message_idx': 3, 'text_snippet': '10–15 minutes'}]",0.43773623433861397
8,bc24cd,high_completed,rules,"[{'kind': 'date', 'message_idx': 0, 'text_snippet': 'this weekend, weekend'}, {'kind': 'room', 'message_idx': 0, 'text_snippet': 'Do you have sea-view rooms this weekend?'}, {'kind': 'money', 'message_idx': 1, 'text_snippet': '€150, €190'}, {'kind': 'room', 'message_idx': 1, 'text_snippet': 'Yes: Standard €150, Superior €190 with balcony.'}, {'kind': 'room', 'message_idx': 3, 'text_snippet': 'Superior has a balcony and premium breakfast.'}]",1.0
9,1431b1,none,model,"[{'kind': 'service', 'message_idx': 0, 'text_snippet': 'The AC is making a loud noise.'}, {'kind': 'date', 'message_idx': 1, 'text_snippet': '15:00, 14:00'}, {'kind': 'service', 'message_idx': 1, 'text_snippet': ""Thanks for telling us. I've alerted maintenance; they can come between 14:00–15:00.""}, {'kind': 'date', 'message_idx': 2, 'text_snippet': '14:30'}, {'kind': 'date', 'message_idx': 3, 'text_snippet': '14:30'}]",0.8097887667680087
10,e55b0e,none,model,"[{'kind': 'date', 'message_idx': 0, 'text_snippet': 'yesterday'}, {'kind': 'service', 'message_idx': 0, 'text_snippet': 'I left a black umbrella in the lobby yesterday.'}, {'kind': 'booking_verb', 'message_idx': 1, 'text_snippet': 'Let me check lost & found. Could you confirm the brand or any distinctive mark?'}, {'kind': 'service', 'message_idx': 1, 'text_snippet': 'Let me check lost & found. Could you confirm the brand or any distinctive mark?'}, {'kind': 'service', 'message_idx': 2, 'text_snippet': ""It's a compact Samsonite with a silver button.""}]",0.8548758340579435
11,8d0741,none,model,"[{'kind': 'policy_info', 'message_idx': 0, 'text_snippet': 'Can you send me the invoice for my last stay?'}, {'kind': 'email', 'message_idx': 2, 'text_snippet': 'billing@acme.com, VAT PT123456789'}, {'kind': 'service', 'message_idx': 2, 'text_snippet': 'billing@acme.com, VAT PT123456789'}, {'kind': 'date', 'message_idx': 3, 'text_snippet': 'minutes'}, {'kind': 'policy_info', 'message_idx': 3, 'text_snippet': 'Thanks. I’ll email the invoice within a few minutes.'}]",0.8633254853619992
12,9b52ef,none,model,"[{'kind': 'service', 'message_idx': 0, 'text_snippet': 'Any good seafood places within walking distance?'}, {'kind': 'date', 'message_idx': 1, 'text_snippet': '8 min, 10 min, Mar'}, {'kind': 'date', 'message_idx': 3, 'text_snippet': 'after 19:30'}]",0.8079564370216445
